company_name,industry,website,country,notes
Ambev SA,Alimentos e Bebidas,https://www.ambev.com.br,BR,Maior cervejaria do Brasil — possível patrocinador premium jersey
Localfrio Curitiba,Transporte e Logística,https://www.localfrio.com.br,BR,Empresa curitibana de logística refrigerada — patrocínio local
